url,repo_indexable,production_sitemap,gsc_known,gsc_indexed,http_status,robots,canonical,google_canonical,last_crawl,discovery_source,cluster,page_type,main_content_inlinks,click_depth,decision
https://familyboard.win/guides/repair-history/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/repair-history/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/robot-vacuum-maintenance-guide/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/robot-vacuum-maintenance-guide/,,,sitemap,,,9,2,GSC indexed
https://familyboard.win/guides/room-by-room-home-inventory/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/room-by-room-home-inventory/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/service-history/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/service-history/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/spring-home-maintenance-checklist/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/spring-home-maintenance-checklist/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/summer-home-maintenance-checklist/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/summer-home-maintenance-checklist/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/vacation-home-shutdown-checklist/,NO,NO,YES,NO,200,"noindex,follow",https://familyboard.win/guides/vacation-home-shutdown-checklist/,,,unknown,,,,3,known but not indexed
https://familyboard.win/guides/warranty-expiration/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/warranty-expiration/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/guides/washing-machine-maintenance-checklist/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/washing-machine-maintenance-checklist/,,,sitemap,,,8,2,GSC indexed
https://familyboard.win/guides/water-heater-maintenance-records/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/water-heater-maintenance-records/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/guides/water-leak-response-home-records/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/water-leak-response-home-records/,,,sitemap,,,10,2,GSC indexed
https://familyboard.win/guides/what-spouse-needs-to-know/,NO,NO,YES,NO,200,"noindex,follow",https://familyboard.win/guides/what-spouse-needs-to-know/,,,unknown,,,,3,known but not indexed
https://familyboard.win/guides/winter-home-maintenance-checklist/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/winter-home-maintenance-checklist/,,,unknown,,,,3,GSC indexed
https://familyboard.win/pricing/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/pricing/,,,sitemap,,,6,1,GSC indexed
https://familyboard.win/privacy/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/privacy/,,,sitemap,,,8,1,GSC indexed
https://familyboard.win/roadmap/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/roadmap/,,,sitemap,,,6,1,GSC indexed
https://familyboard.win/search/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/search/,,,unknown,,,,1,GSC indexed
https://familyboard.win/security/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/security/,,,sitemap,,,6,1,GSC indexed
https://familyboard.win/templates/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/templates/,,,sitemap,,,10,1,GSC indexed
https://familyboard.win/templates/printable-annual-renewals/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/templates/printable-annual-renewals/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/templates/printable-chore-chart/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/templates/printable-chore-chart/,,,unknown,,,,3,GSC indexed
https://familyboard.win/templates/printable-home-inventory-template/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/templates/printable-home-inventory-template/,,,sitemap,,,8,1,GSC indexed
https://familyboard.win/templates/printable-household-handoff-sheet/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/templates/printable-household-handoff-sheet/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/templates/printable-service-provider-list/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/templates/printable-service-provider-list/,,,sitemap,,,8,2,GSC indexed
https://familyboard.win/terms/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/terms/,,,sitemap,,,5,1,GSC indexed
https://familyboard.win/tools/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/tools/,,,sitemap,,,10,1,GSC indexed
https://familyboard.win/tools/annual-subscription-cost-calculator/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/tools/annual-subscription-cost-calculator/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/tools/appliance-age-calculator/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/tools/appliance-age-calculator/,,,sitemap,,,8,2,GSC discovery gap
https://familyboard.win/tools/appliance-maintenance-checklist-generator/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/tools/appliance-maintenance-checklist-generator/,,,unknown,,,,3,GSC indexed
https://familyboard.win/tools/appliance-replacement-planner/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/tools/appliance-replacement-planner/,,,unknown,,,,3,GSC indexed
https://familyboard.win/tools/emergency-binder-generator/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/tools/emergency-binder-generator/,,,unknown,,,,3,GSC indexed
https://familyboard.win/tools/emergency-contact-sheet-generator/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/tools/emergency-contact-sheet-generator/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/tools/home-handoff-summary-generator/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/tools/home-handoff-summary-generator/,,,unknown,,,,3,GSC indexed
https://familyboard.win/tools/home-inventory-checklist-generator/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/tools/home-inventory-checklist-generator/,,,sitemap,,,8,2,GSC indexed
https://familyboard.win/tools/home-maintenance-cost-tracker/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/tools/home-maintenance-cost-tracker/,,,sitemap,,,8,2,GSC indexed
https://familyboard.win/tools/home-maintenance-schedule-generator/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/tools/home-maintenance-schedule-generator/,,,sitemap,,,11,1,GSC indexed
https://familyboard.win/tools/home-service-reminder-generator/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/tools/home-service-reminder-generator/,,,unknown,,,,3,GSC indexed
https://familyboard.win/tools/house-sitter-instruction-generator/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/tools/house-sitter-instruction-generator/,,,sitemap,,,8,2,GSC indexed
https://familyboard.win/tools/household-annual-review-generator/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/tools/household-annual-review-generator/,,,sitemap,,,8,2,GSC indexed
https://familyboard.win/tools/household-document-index-generator/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/tools/household-document-index-generator/,,,unknown,,,,3,GSC indexed
https://familyboard.win/tools/household-subscription-cost-calculator/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/tools/household-subscription-cost-calculator/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/tools/move-in-checklist-generator/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/tools/move-in-checklist-generator/,,,unknown,,,,3,GSC indexed
https://familyboard.win/tools/pet-sitter-instruction-generator/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/tools/pet-sitter-instruction-generator/,,,sitemap,,,9,2,GSC indexed
https://familyboard.win/tools/receipt-retention-organizer/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/tools/receipt-retention-organizer/,,,unknown,,,,3,GSC indexed
https://familyboard.win/tools/vacation-shutdown-checklist-generator/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/tools/vacation-shutdown-checklist-generator/,,,unknown,,,,3,GSC indexed
https://familyboard.win/tools/warranty-checklist-generator/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/tools/warranty-checklist-generator/,,,unknown,,,,3,GSC indexed
https://familyboard.win/tools/warranty-expiration-calculator/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/tools/warranty-expiration-calculator/,,,sitemap,,,11,1,GSC indexed
https://familyboard.win/zh-tw/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/,,,sitemap,,,7,1,GSC indexed
https://familyboard.win/zh-tw/about/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/about/,,,sitemap,,,6,2,GSC discovery gap
https://familyboard.win/zh-tw/affiliate-disclosure/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/affiliate-disclosure/,,,sitemap,,,6,2,GSC discovery gap
https://familyboard.win/zh-tw/app/,NO,NO,YES,NO,200,"noindex,follow",https://familyboard.win/zh-tw/app/,,,unknown,,,,2,known but not indexed
https://familyboard.win/zh-tw/changelog/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/changelog/,,,sitemap,,,8,2,GSC discovery gap
https://familyboard.win/zh-tw/checklists/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/checklists/,,,sitemap,,,9,2,GSC discovery gap
https://familyboard.win/zh-tw/contact/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/contact/,,,sitemap,,,24,2,GSC discovery gap
https://familyboard.win/zh-tw/disclaimer/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/disclaimer/,,,sitemap,,,7,2,GSC discovery gap
https://familyboard.win/zh-tw/editorial-policy/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/editorial-policy/,,,sitemap,,,8,2,GSC discovery gap
https://familyboard.win/zh-tw/features/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/features/,,,sitemap,,,1,2,GSC discovery gap
https://familyboard.win/zh-tw/guides/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/guides/,,,sitemap,,,7,2,GSC discovery gap
https://familyboard.win/zh-tw/guides/home-maintenance-schedule/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/guides/home-maintenance-schedule/,,,sitemap,,,4,2,GSC indexed
https://familyboard.win/zh-tw/pricing/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/pricing/,,,sitemap,,,7,2,GSC discovery gap
https://familyboard.win/zh-tw/privacy/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/privacy/,,,sitemap,,,13,2,GSC discovery gap
https://familyboard.win/zh-tw/roadmap/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/roadmap/,,,sitemap,,,7,2,GSC discovery gap
https://familyboard.win/zh-tw/security/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/security/,,,sitemap,,,6,2,GSC discovery gap
https://familyboard.win/zh-tw/templates/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/templates/,,,sitemap,,,7,2,GSC discovery gap
https://familyboard.win/zh-tw/terms/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/terms/,,,sitemap,,,6,2,GSC discovery gap
https://familyboard.win/zh-tw/tools/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/tools/,,,sitemap,,,7,2,GSC discovery gap
https://familyboard.win/zh-tw/tools/annual-subscription-cost-calculator/,YES,YES,NO,NO,200,"index,follow,max-image-preview:large",https://familyboard.win/zh-tw/tools/annual-subscription-cost-calculator/,,,sitemap,,,8,2,GSC discovery gap
